Año;Zona;Bloque;Tratamiento;Repeticion;Vol;t
2022;MIT;T1;CUBIERTA;1;50;0,15
2022;MIT;T1;CUBIERTA;1;50;0,46
2022;MIT;T1;CUBIERTA;1;50;0,47
2022;MIT;T1;CUBIERTA;1;50;0,53
2022;MIT;T1;CUBIERTA;1;50;1,04
2022;MIT;T1;CUBIERTA;1;50;1,06
2022;MIT;T1;CUBIERTA;1;50;1,09
2022;MIT;T1;CUBIERTA;1;50;1,12
2022;MIT;T1;CUBIERTA;1;50;1,12
2022;MIT;T1;CUBIERTA;1;50;1,3
2022;MIT;T1;CUBIERTA;1;50;1,54
2022;MIT;T1;CUBIERTA;1;50;2,48
2022;MIT;T1;CUBIERTA;1;50;2,56
2022;MIT;T1;CUBIERTA;1;50;2,58
2022;MIT;T1;CUBIERTA;1;50;2,28
2022;MIT;T1;CUBIERTA;1;50;2,1
2022;MIT;T1;CUBIERTA;1;50;2,02
2022;MIT;T1;CUBIERTA;1;50;2,11
2022;MIT;T1;CUBIERTA;1;50;2,01
2022;MIT;T2;CUBIERTA;2;50;0,02
2022;MIT;T2;CUBIERTA;2;50;0,23
2022;MIT;T2;CUBIERTA;2;50;0,43
2022;MIT;T2;CUBIERTA;2;50;0,59
2022;MIT;T2;CUBIERTA;2;50;1,02
2022;MIT;T2;CUBIERTA;2;50;1,05
2022;MIT;T2;CUBIERTA;2;50;1,22
2022;MIT;T2;CUBIERTA;2;50;1,24
2022;MIT;T2;CUBIERTA;2;50;1,34
2022;MIT;T2;CUBIERTA;2;50;1,39
2022;MIT;T2;CUBIERTA;2;50;1,47
2022;MIT;T2;CUBIERTA;2;50;1,52
2022;MIT;T2;CUBIERTA;2;50;1,55
2022;MIT;T2;CUBIERTA;2;50;1,52
2023;MIT;T1;CUBIERTA;1;50;6
2023;MIT;T1;CUBIERTA;1;50;9
2023;MIT;T1;CUBIERTA;1;50;10
2023;MIT;T1;CUBIERTA;1;50;10
2023;MIT;T1;CUBIERTA;1;50;11
2023;MIT;T1;CUBIERTA;1;50;9
2023;MIT;T1;CUBIERTA;1;50;9
2023;MIT;T1;CUBIERTA;1;50;16
2023;MIT;T1;CUBIERTA;1;50;19
2023;MIT;T1;CUBIERTA;1;50;25
2023;MIT;T1;CUBIERTA;1;50;35
2023;MIT;T1;CUBIERTA;1;50;35
2023;MIT;T1;CUBIERTA;1;50;40
2023;MIT;T1;CUBIERTA;1;50;61
2023;MIT;T1;CUBIERTA;1;50;61
2023;MIT;T1;CUBIERTA;1;50;56
2023;MIT;T1;CUBIERTA;1;50;82
2023;MIT;T1;CUBIERTA;1;50;64
2023;MIT;T1;CUBIERTA;1;50;76
2023;MIT;T1;CUBIERTA;1;50;89
2023;MIT;T1;CUBIERTA;1;50;103
2023;MIT;T1;CUBIERTA;1;50;92
2023;MIT;T1;CUBIERTA;1;50;103
2023;MIT;T1;CUBIERTA;1;50;93
2023;MIT;T1;CUBIERTA;1;50;106
